"filename", "language", "JSON", "Django HTML", "Markdown", "TypeScript", "JSON with Comments", "XML", "TypeScript JSX", "Rust", "SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\models.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 14, 141
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\ops.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 3, 15, 74
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\schema.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 9, 117
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\db\search.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 514, 0, 0, 0, 6, 66, 586
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\error.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 31, 105
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\fide.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 22, 182
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\fs.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 3, 20, 172
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\lexer.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 16, 75
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 25, 330
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\oauth.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 18, 120
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\opening.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 20, 171
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\pgn.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 1, 47, 243
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\src\puzzle.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 19, 124
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src-tauri\tauri.conf.json", "JSON", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119
"c:\Users\Student\Desktop\JasonR\Chess\en-croissant-master\en-croissant-master\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 1, 19, 183
